coef_refl_b01,coef_refl_b02,coef_refl_b03,coef_refl_b04,coef_refl_b05,coef_refl_b07,bias,Pred_SiO3,id,dataset_belong,denormalized_pred_result
0.42644697,-0.62439996,0.09300163,3.6291125,-1.5249343,-1.0331019,0.9007446,1.5129521,316,train,1.5129521
0.21732439,-0.12446752,-0.09970197,0.88150924,1.1520101,-1.0565783,0.8947705,0.98362684,1231,train,0.98362684
-0.46951422,0.28487933,-0.25246656,1.6213783,2.2046683,-0.7780148,0.8158953,1.0534167,1893,train,1.0534167
6.2331824,-1.1064073,0.3195575,-0.71560556,-2.6429646,-1.7783096,1.038669,1.9986268,1024,train,1.9986268
2.228696,-0.32910773,-0.12013582,1.317532,-0.58655345,-0.8475496,0.69543666,1.2889574,942,train,1.2889574
-3.4442666,0.205382,-0.083738506,2.2143223,1.5119083,-0.24235159,1.3073782,1.0963596,1395,train,1.0963596
2.745721,0.30608568,-0.30190292,0.27905458,2.0136156,-1.6766466,0.5115607,0.73639625,570,train,0.73639625
7.4175215,0.99088085,-0.6823862,-3.4375463,4.743403,-2.9435961,0.60617244,0.85533893,2546,train,0.85533893
2.7509656,-0.15009935,-0.18560722,0.6935591,-0.24657004,-1.1260573,0.678877,1.2163017,2615,train,1.2163017
1.8421069,-0.75553906,0.15707013,2.4932563,-1.8363894,-1.2803034,1.0042189,1.5314833,1127,train,1.5314833
-3.4766097,0.10989121,-0.07726249,2.3155816,1.1582365,-0.33718523,1.3962194,1.1758552,1411,train,1.1758552
2.581599,-0.81662005,0.19003132,1.9374174,-1.9939393,-1.3861922,1.0162534,1.725491,2874,train,1.725491
-1.8847295,0.44761097,-0.324336,2.6185052,1.7958564,-0.47872588,1.013312,1.1497873,2681,train,1.1497873
-1.7907389,-0.046983153,-0.08179128,1.5593266,1.3046744,-0.42545807,1.1001794,1.1062392,1359,train,1.1062392
-3.475935,0.1276565,-0.07930561,2.2371297,1.2072946,-0.32150495,1.3990016,1.5005568,1330,train,1.5005568
-2.460146,-0.2737662,0.0615178,3.4713297,-0.3291845,-0.69140846,1.2034262,1.3018022,60,train,1.3018022
-2.1399202,0.35152623,-0.27551973,2.4738448,1.5701816,-0.20745032,1.1293881,1.1580453,607,train,1.1580453
-2.021946,0.081768095,-0.09287149,1.3976899,1.6654116,-0.45763454,1.1365739,1.1398325,1251,train,1.1398325
1.1801136,-0.1410316,-0.16257949,0.66152096,0.53141975,-0.8255314,0.8411201,1.139965,938,train,1.139965
9.217597,-1.4130718,0.37610012,-2.8556597,-3.397918,-1.7638155,0.99028,0.78863907,149,train,0.78863907
1.9770861,0.27444023,-0.27601534,0.7129373,2.0115457,-1.4212762,0.5734287,0.8927752,2306,train,0.8927752
5.932046,1.143629,-0.7402779,-2.9828622,4.894928,-2.2391856,0.63001263,0.7369854,2516,train,0.7369854
4.721888,0.58454084,-0.4205514,0.12556085,2.753828,-2.4645066,0.44121757,1.0976472,2253,train,1.0976472
-1.9019066,0.21269658,-0.15185648,1.5617002,1.8951442,-0.376491,1.117347,1.3668664,1763,train,1.3668664
0.93186116,-0.5440157,0.019443046,3.0605824,-1.3589407,-0.6194561,0.74389607,0.8493593,949,train,0.8493593
2.7225642,-0.79496735,0.16192855,1.2228339,-2.0371764,-0.7216231,1.0399716,1.6780075,1064,train,1.6780075
0.56621104,-0.33757406,-0.06054217,2.077582,-0.32668525,-0.49222535,0.80143446,1.1046723,90,train,1.1046723
-1.5977464,-0.07117246,-0.08258871,1.5716809,1.2399677,-0.45770085,1.0754063,1.1268301,1463,train,1.1268301
-1.41573,0.47491044,-0.36116514,2.6065073,1.8274527,-0.50327116,0.9921269,1.5050384,1873,train,1.5050384
-1.6242751,0.4631043,-0.3383459,2.4807491,1.8408628,-0.49549082,1.0134517,1.3686209,2684,train,1.3686209
4.5861726,-0.9660584,0.25653145,0.641671,-2.3117123,-1.6615882,1.0069332,1.7250059,1059,train,1.7250059
-3.0068533,0.03823872,-0.06873703,2.2205265,1.2704557,-0.32128465,1.2065018,1.2231671,1451,train,1.2231671
-3.3987496,-0.00060265214,-0.038799547,2.4943435,0.9084047,-0.44532195,1.3857452,1.1889108,2833,train,1.1889108
0.9056321,-0.21760929,-0.12734325,1.2069204,0.22654642,-0.708822,0.83601385,1.1164374,245,train,1.1164374
-3.1185868,0.2306121,-0.10401334,2.05304,1.6538895,-0.22671263,1.2716262,1.0509108,1620,train,1.0509108
-1.6827698,0.100438006,-0.108084716,1.4400923,1.76167,-0.5576184,1.047069,1.150694,1843,train,1.150694
-1.4242433,0.5466652,-0.38043255,3.195204,2.0718627,-0.8043936,0.8637101,1.2847408,1907,train,1.2847408
9.985332,-1.4329716,0.4644788,-4.051359,-3.4211786,-1.8563478,1.1488699,1.2573456,133,train,1.2573456
-1.913562,0.13208267,-0.18672007,2.2028239,0.96717024,-0.22088993,1.2549075,1.3453691,1479,train,1.3453691
-3.4834437,0.1322014,-0.07530077,2.1710334,1.247938,-0.31895024,1.3944842,1.3676746,473,train,1.3676746
-2.0935938,0.12049467,-0.16272053,2.1494226,0.9530036,-0.2604777,1.3013549,1.3698121,1444,train,1.3698121
-3.423157,0.061058156,-0.06462739,2.3294618,1.0554075,-0.38192555,1.4000497,1.2791573,447,train,1.2791573
0.57059723,-0.66313374,0.1361488,3.0698624,-1.7230458,-0.7560141,1.0419141,1.5492043,262,train,1.5492043
0.85004514,-0.54473877,0.026420416,3.0912118,-1.4353923,-0.5945751,0.7515661,1.2576212,850,train,1.2576212
3.3723848,-0.88639593,0.2344077,1.1838193,-2.2210872,-1.3012892,1.0592862,1.6327568,826,train,1.6327568
1.3553085,0.7821812,-0.52566224,2.3205745,3.4034715,-1.7868929,0.63970244,1.2518632,2357,train,1.2518632
-2.479441,0.3437472,-0.22051965,2.3003223,1.6876662,-0.24570864,1.1616179,1.1898237,602,train,1.1898237
0.1835727,-0.49725136,0.062125247,3.0283048,-1.5522912,-0.4145489,1.0474983,1.3686377,2623,train,1.3686377
0.9894689,0.26089802,-0.24885403,1.2967476,2.008335,-1.2991753,0.6037487,0.8349073,582,train,0.8349073
-2.0342731,0.22501579,-0.15316372,1.6343634,1.8800292,-0.37509525,1.1274734,1.1444912,109,train,1.1444912
5.742877,0.66183096,-0.47581694,-0.8348335,3.0738995,-2.619654,0.48356664,0.7624076,2418,train,0.7624076
-1.8884281,0.20614865,-0.15120214,1.5821049,1.8747107,-0.38773668,1.103255,1.110704,1782,train,1.110704
0.56780577,0.27404207,-0.26881242,1.1607453,2.1987796,-0.88225716,0.73998356,1.1046054,408,train,1.1046054
6.44673,-1.1240491,0.32659867,-0.8750608,-2.6829815,-1.7907788,1.0414639,1.835073,943,train,1.835073
0.52962416,-0.6406989,0.1353558,3.2768426,-1.5817962,-1.211874,1.0398072,1.4370077,789,train,1.4370077
-0.55316633,0.68791944,-0.4236433,3.957857,2.5942745,-1.2816343,0.6092427,1.2026489,2193,train,1.2026489
-3.301789,0.22503443,-0.09332345,2.1338089,1.6052318,-0.23481502,1.2913218,1.1212137,1511,train,1.1212137
-0.926399,0.5780846,-0.4115337,3.1905754,2.2104876,-0.94174004,0.84446836,1.4443479,2081,train,1.4443479
0.32131866,-0.6377876,0.13258712,3.228818,-1.6668029,-0.80136645,1.0545547,1.2601031,39,train,1.2601031
-2.052013,-0.24782234,0.015899165,3.0187967,-0.29774418,-0.24693756,1.2106788,1.2996454,15,train,1.2996454
-3.4505687,0.24899134,-0.10178474,2.25662,1.53,-0.20595357,1.3328388,1.2540778,1227,train,1.2540778
-1.8043987,0.19784334,-0.15344869,1.583682,1.8662262,-0.40581658,1.0777999,1.219274,1734,train,1.219274
-0.3054221,0.6984861,-0.4364556,3.7437096,2.674048,-1.298962,0.6305519,1.1523678,2177,train,1.1523678
4.4074135,-0.25404736,-0.21370605,-0.6182646,1.3067743,-1.2586442,0.6567311,1.4373641,2219,train,1.4373641
-1.8564855,0.4061229,-0.32760778,2.8369234,1.6050553,-0.38725293,1.0165365,1.2135,1835,train,1.2135
1.8421069,-0.75553906,0.15707013,2.4932563,-1.8363894,-1.2803034,1.0042189,1.5616369,1131,train,1.5616369
6.42526,0.7292235,-0.5264093,-1.552195,3.3466935,-2.7646706,0.4950705,0.8237866,2356,train,0.8237866
-0.21754187,0.64564395,-0.39871076,3.666753,2.540925,-1.3969672,0.55883956,1.076093,402,train,1.076093
-0.2887244,0.69589335,-0.43513834,3.7398114,2.6722074,-1.3041629,0.6260372,1.3893917,2180,train,1.3893917
9.314516,-1.381454,0.4492202,-3.9963822,-3.3134139,-1.4152992,1.205485,1.4283981,147,train,1.4283981
-2.4483314,-0.27776167,0.046778273,3.4297724,-0.13799244,-0.73680526,1.1790211,1.3231455,2839,train,1.3231455
1.0719008,-0.20683105,-0.14709046,1.1035855,0.27824113,-0.7763122,0.8320748,1.3171347,1010,train,1.3171347
-1.9276694,-0.3789463,0.10147782,3.856009,-0.8886493,-0.81182075,1.1015983,1.3984365,2847,train,1.3984365
8.86476,-1.328257,0.42644325,-3.7170322,-3.2242706,-1.3273305,1.1953838,1.3626366,161,train,1.3626366
-0.60466695,0.6895446,-0.43067926,3.7884026,2.5129783,-1.1223626,0.6838717,1.3666923,2181,train,1.3666923
6.537359,0.74485505,-0.5392959,-1.6730316,3.4157271,-2.8229632,0.4934517,0.98164666,2341,train,0.98164666
-2.307274,0.26201072,-0.20082629,2.0561848,1.2672485,-0.051260203,1.3128563,1.2540911,1375,train,1.2540911
-0.8280415,-0.46016616,0.061972067,3.292599,-1.1793631,-0.25451544,1.0590516,1.5325551,203,train,1.5325551
-0.047416467,0.24717641,-0.24401602,1.4281119,2.1540043,-0.82548887,0.764389,1.0896034,1894,train,1.0896034
1.6269565,-0.73738456,0.15311217,2.6273625,-1.7915357,-1.2442963,1.0046633,1.5042317,2704,train,1.5042317
-2.1885984,0.35668865,-0.27002624,2.4459393,1.601154,-0.22725336,1.1294506,1.3008358,644,train,1.3008358
6.580935,0.6936855,-0.51729316,-1.7262983,3.2337477,-2.722365,0.5092592,1.5777935,411,train,1.5777935
2.4402251,-0.81133914,0.19254813,1.8366965,-2.0155065,-1.2077336,1.0559026,1.6231639,758,train,1.6231639
2.7060559,-0.20463581,-0.1638372,-0.10457654,1.4699929,-1.1256187,0.7545442,1.2817142,1951,train,1.2817142
2.2846134,0.8476696,-0.57039976,1.1817123,3.7211366,-2.0253687,0.6499025,0.71949744,2594,train,0.71949744
-2.5247736,0.22325937,-0.1270759,1.7830493,1.7834494,-0.29491183,1.1975971,1.1151493,648,train,1.1151493
-1.8063549,-0.035968345,-0.084564164,1.5527828,1.3348159,-0.4645289,1.1086375,1.0766879,1221,train,1.0766879
8.14471,1.177412,-0.74014306,-5.3586783,5.1328173,-3.0468576,0.70516086,1.5277884,2461,train,1.5277884
2.6570532,-0.6762176,0.088995904,2.5395377,-2.2366116,-1.1048877,0.73510027,1.2346944,162,train,1.2346944
3.0869777,-0.8654143,0.2147929,1.6575614,-2.0996184,-1.4535531,1.0043768,1.7192082,851,train,1.7192082
-1.3351125,-0.2751523,-0.010135003,2.7360673,-0.44025987,-0.058217697,1.1677632,1.3547773,31,train,1.3547773
-3.5059285,0.13298751,-0.06640381,2.1641521,1.2572136,-0.30639628,1.3734502,1.2963907,2717,train,1.2963907
-0.44454953,-0.07459003,-0.08975493,0.8060187,1.2922263,-0.8620274,1.0045273,1.0923697,1195,train,1.0923697
1.5537262,-0.102129355,-0.16381292,0.5012585,0.63165426,-0.94456244,0.784838,1.0955333,1891,train,1.0955333
-2.3002558,0.13463898,-0.15360406,2.1865947,1.015505,-0.26815328,1.3113395,1.3272501,1454,train,1.3272501
8.589036,-1.2746006,0.40328723,-3.6961634,-3.145813,-1.1998252,1.190251,0.67292094,49,train,0.67292094
-1.0287303,-0.12972476,-0.07956653,1.5679389,0.99092096,-0.50069886,1.0125139,1.0361693,2762,train,1.0361693
4.970632,-0.8448195,0.24528329,-0.9267521,-2.3758552,-1.1853577,1.0938313,1.2186399,1092,train,1.2186399
1.5207855,-0.24122877,-0.14032003,1.2247549,-0.02640527,-0.8088164,0.7623144,1.2238114,1069,train,1.2238114
-2.1712303,-0.02001593,-0.08230269,1.8793857,1.2901919,-0.34654865,1.1065253,1.1765944,527,train,1.1765944
2.2717915,-0.21493275,-0.16080981,0.9666901,-0.14544955,-1.0337422,0.69835913,1.0639045,2619,train,1.0639045
4.5200596,0.5706726,-0.41419306,0.22480778,2.7420182,-2.374193,0.44761872,1.2218306,2303,train,1.2218306
-1.8533597,0.2674592,-0.18816537,1.7656422,1.9593372,-0.42455813,1.0657902,1.2728286,612,train,1.2728286
0.17709842,-0.44588885,-0.007879046,2.8581102,-0.78304416,-0.454189,0.7954576,1.1897161,875,train,1.1897161
-2.0440605,0.014810884,-0.083440684,1.4978821,1.4217231,-0.42757136,1.1471499,1.1821747,1356,train,1.1821747
3.7922266,-0.8653084,0.20633683,0.42868626,-2.20851,-0.927038,1.0571694,1.762688,1038,train,1.762688
0.17670286,-0.103820354,-0.10184026,0.79638153,1.134162,-1.0357876,0.91293734,1.0743991,1205,train,1.0743991
4.616508,-0.25125885,-0.22562402,-0.7189122,1.3282185,-1.2355855,0.6465212,1.1253171,656,train,1.1253171
-2.154352,0.34979123,-0.27424237,2.4820728,1.5680407,-0.2041207,1.1301283,1.1395547,630,train,1.1395547
-2.0038972,0.18222097,-0.14837493,1.7703023,1.7945292,-0.42148107,1.0627426,1.1627597,1773,train,1.1627597
-2.6879704,0.21579245,-0.11743482,1.8454264,1.756107,-0.27116808,1.2138591,1.0333323,2633,train,1.0333323
-3.3923042,0.21075723,-0.086564474,2.1893053,1.5503842,-0.23835276,1.2973942,1.0611113,1211,train,1.0611113
3.2646818,-0.21400651,-0.17374723,-0.1913967,1.3729262,-1.2502319,0.709242,1.3446199,1987,train,1.3446199
-2.2557807,0.27964836,-0.21610922,2.0848658,1.2979776,-0.04226294,1.301259,1.4751316,1530,train,1.4751316
5.329804,-1.0208286,0.28275216,0.034766674,-2.4417057,-1.7351811,1.0175294,1.9780247,962,train,1.9780247
-2.8711076,-0.15395759,0.008220623,2.9405801,0.3239372,-0.5305597,1.316286,1.1580414,1161,train,1.1580414
-3.207016,-0.08467545,-0.0156120295,2.680968,0.7247886,-0.51715004,1.3303059,1.2786772,742,train,1.2786772
5.2716694,-1.0250046,0.29193896,-0.16285461,-2.5013018,-1.5992182,1.0757784,1.8382826,1029,train,1.8382826
6.435533,-1.1565311,0.24583901,-0.36759943,-3.2040257,-1.493899,0.8037301,0.87501013,1076,train,0.87501013
-0.28402847,-0.5635238,0.1264999,3.6784682,-1.3981881,-1.1530906,1.0455768,1.3744783,1790,train,1.3744783
-0.7522849,-0.17261043,-0.07184362,1.6610111,0.790549,-0.484911,0.96740574,1.0206817,1239,train,1.0206817
-0.70035005,-0.53110486,0.120175734,3.6851876,-1.3878194,-0.85354793,1.0911846,1.4721998,794,train,1.4721998
-1.8054861,0.27282465,-0.23723611,1.793549,1.1714479,0.061273098,1.3281484,1.3336302,1527,train,1.3336302
1.3404444,-0.18425377,-0.10988456,0.39446598,1.4078896,-1.0762752,0.8170995,1.0579789,1864,train,1.0579789
1.1847624,-0.13117674,-0.16297244,0.6309054,0.5698078,-0.84027034,0.83427817,0.95938617,1115,train,0.95938617
0.4813171,-0.65851784,0.14344911,3.276582,-1.6911315,-1.009505,1.0451953,1.2801898,105,train,1.2801898
6.798173,0.7518871,-0.55156153,-2.0038838,3.4768355,-2.8501012,0.5090081,1.6153541,2336,train,1.6153541
1.3575045,0.80101585,-0.539324,2.187378,3.4543872,-1.7265785,0.67473537,1.4251287,2375,train,1.4251287
4.0834374,-0.93836915,0.2474538,0.98379695,-2.2596128,-1.591857,1.0060213,1.7090619,828,train,1.7090619
-2.3212924,0.17760077,-0.16253377,2.0878356,1.1165886,-0.23062554,1.3191737,1.3284087,684,train,1.3284087
1.3241259,-0.6978595,0.13969609,2.707623,-1.6838146,-1.2275845,1.0264872,1.6120427,809,train,1.6120427
3.5531685,0.44452086,-0.36089838,0.87037694,2.3088565,-2.3780003,0.34639075,1.1100838,376,train,1.1100838
3.5903096,-0.2311911,-0.14398536,0.7328167,-1.0465381,-1.234406,0.6108025,0.7023824,1088,train,0.7023824
9.013151,1.3492745,-0.7972328,-7.50217,5.4122286,-2.7988312,0.7961697,0.5142146,2482,train,0.5142146
-1.8853512,-0.03232089,-0.08574119,1.615618,1.342287,-0.42474297,1.1061598,1.1473712,443,train,1.1473712
6.2400465,0.811327,-0.57150257,-1.5169842,3.7236595,-2.8032796,0.5330536,1.0913144,433,train,1.0913144
1.9690648,-0.08698163,-0.17625684,0.54310954,0.4653742,-1.0693307,0.711679,1.163459,2753,train,1.163459
0.12035386,-0.14602527,-0.08199501,0.7846901,1.3069254,-0.93553525,0.9146092,0.9408643,1250,train,0.9408643
-1.5883006,0.5733075,-0.37745714,3.4721594,2.1318634,-0.9101694,0.81551474,0.8100302,2025,train,0.8100302
-1.3244357,0.530275,-0.37860772,2.903876,2.053374,-0.7281346,0.9040566,1.1684006,1963,train,1.1684006
-0.8611429,-0.28511548,-0.004776149,2.633702,-0.7228002,-0.2114694,1.2013972,1.2896116,2778,train,1.2896116
6.8503575,-0.018957032,-0.33902344,-2.5320103,1.1171783,-1.3234426,0.5941196,1.4426546,2510,train,1.4426546
-1.9638473,0.3673808,-0.290918,2.4287057,1.5785933,-0.2521738,1.1130334,1.2112597,1813,train,1.2112597
1.2285438,-0.5421995,0.019502988,3.0358226,-1.5250205,-0.65992814,0.71861553,1.3883638,829,train,1.3883638
-0.49434426,-0.54916453,0.115940884,3.6148357,-1.4610034,-0.77788836,1.0768108,1.3815335,48,train,1.3815335
-0.08287103,0.7133176,-0.45099208,3.5998538,2.7556343,-1.3475102,0.6380214,1.3918351,2202,train,1.3918351
5.625798,0.5629623,-0.43571684,-2.5444496,2.2821066,-2.5846736,0.63684344,1.3534373,2505,train,1.3534373
7.371793,-1.2590181,0.3058964,-1.1475278,-3.1904895,-1.6210959,0.8920331,0.6134067,138,train,0.6134067
-0.26665398,-0.102980636,-0.08558097,0.8056891,1.2703626,-0.8877223,0.9783019,1.0444494,1492,train,1.0444494
-0.114720345,-0.0773199,-0.10457086,0.74164593,1.2225406,-0.9367899,0.9579405,1.0334426,2719,train,1.0334426
-3.2899141,-0.06398672,-0.023359818,2.6622345,0.8163248,-0.4810246,1.3227538,1.3547363,2831,train,1.3547363
-3.4298894,0.15573046,-0.092065,2.2692137,1.239415,-0.28850803,1.391373,1.2361016,469,train,1.2361016
-1.7673465,0.27532905,-0.24097884,1.7737999,1.1675866,0.07284047,1.3302022,1.3653936,773,train,1.3653936
-2.3018289,0.25870496,-0.19886164,2.0317848,1.2633421,-0.051803775,1.3176223,1.3085024,1581,train,1.3085024
5.519026,-0.23165983,-0.27239022,-1.1037632,1.232272,-1.2387072,0.5961061,1.0810695,2423,train,1.0810695
-1.127837,0.432353,-0.36926678,2.4987376,1.6098424,-0.36308855,1.0231774,1.2366377,1895,train,1.2366377
-3.5037339,0.16161881,-0.078457296,2.187559,1.3242927,-0.29763585,1.3781105,1.3632005,1192,train,1.3632005
-0.3826952,-0.5664504,0.12046102,3.6201353,-1.4921181,-0.84793544,1.0755574,1.6388769,255,train,1.6388769
-1.6586511,0.48670593,-0.35223562,2.7995808,1.8751423,-0.5500245,0.96671706,1.227701,2009,train,1.227701
-3.4294095,0.14155504,-0.08947552,2.2929409,1.2029766,-0.30517986,1.3943195,1.3936166,530,train,1.3936166
2.619631,-0.24072653,-0.16131215,1.0087802,-0.41059545,-1.076361,0.6660755,1.2919027,908,train,1.2919027
0.51592517,-0.13817874,-0.09876473,0.8307899,1.0859035,-1.1233222,0.8620282,1.1421692,1389,train,1.1421692
-3.3752816,0.22061992,-0.08967033,2.1785536,1.5731685,-0.24122922,1.3011853,1.2461956,776,train,1.2461956
1.8957036,-0.16410494,-0.16470616,0.7592459,0.17345795,-0.9703595,0.75555295,1.0581222,849,train,1.0581222
-1.8884281,0.20614865,-0.15120214,1.5821049,1.8747107,-0.38773668,1.103255,1.0498928,1783,train,1.0498928
0.69686395,0.74519527,-0.48707047,3.0889547,3.0806184,-1.6163926,0.6051238,1.0761194,2350,train,1.0761194
8.25015,0.8939555,-0.56597596,-5.8354974,3.129417,-2.9025893,0.7204366,1.1181593,427,train,1.1181593
0.90553814,-0.4183134,-0.03108602,2.3804011,-0.7781493,-0.53040755,0.76683056,1.2843498,767,train,1.2843498
-3.0498714,0.22624336,-0.106650025,2.0274405,1.6596946,-0.23510958,1.2616006,1.2177405,1301,train,1.2177405
0.28063577,0.20709425,-0.21532707,1.250559,1.9517779,-1.0414227,0.745591,0.9290677,1980,train,0.9290677
-3.5032117,0.13449964,-0.06607713,2.1697795,1.2623568,-0.304457,1.3684801,1.219234,336,train,1.219234
-1.4725596,-0.11039633,-0.087025516,2.2288196,0.22215569,-0.21703996,1.2568939,1.2985967,1169,train,1.2985967
1.0504268,-0.086823985,-0.15609759,0.5347931,0.8552901,-0.9395515,0.8322888,1.1093541,2821,train,1.1093541
-3.2199688,0.101972915,-0.069929175,2.2159593,1.4167641,-0.2871803,1.2297719,1.2501926,673,train,1.2501926
0.46366426,-0.3336314,-0.05625343,2.0983841,-0.2840237,-0.4751293,0.80897176,1.2412474,252,train,1.2412474
-1.7357129,-0.028135667,-0.08535254,1.4725217,1.331887,-0.47372958,1.1097076,1.1786046,1190,train,1.1786046
