station_id,lng,lat,date,PM2.5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1001A,116.366,39.8673,20170930,56.35714285714285,2201.0,6867.0,1650847.5516331228,1370268.3659701913,46,0.8738294243812561,26.08804702758789,294.22430419921875,100287.671875,5.14547573402524e-05,64.58305358886719,-7.4101053542108275e-06,52.682090759277344,0.3842574059963226,0.7848082780838013,0.7627617120742798,3443
1002A,116.17,40.2865,20170930,47.14814814814815,2134.0,6835.0,1625003.973250138,1416959.9639730146,420,0.5599374771118164,343.809326171875,292.29327392578125,96752.5078125,0.0003038885770365,40.62113952636719,-6.73940257911454e-06,62.529090881347656,-0.1561753302812576,-0.5377166867256165,0.5747854709625244,7810
1003A,116.434,39.9522,20170930,53.85714285714285,2188.0,6877.0,1653776.7102650262,1381524.3053945734,48,0.6246087551116943,8.643502235412598,294.0104675292969,100307.703125,5.775926183559932e-05,60.2429084777832,-7.043234745651716e-06,52.12664031982422,0.0938672572374343,0.6175152063369751,0.7968273758888245,3328
1004A,116.434,39.8745,20170930,46.33333333333334,2200.0,6877.0,1655828.0445424512,1372270.097507006,45,0.9150498509407043,12.4610013961792,294.296630859375,100410.3671875,4.7366542275995016e-05,69.53563690185547,-7.760440894344356e-06,51.30152893066406,0.1974392384290695,0.8934953808784485,0.7588391900062561,4535
1005A,116.473,39.9716,20170930,52.2037037037037,2185.0,6884.0,1656224.6805005262,1384491.8424875431,40,0.6377434730529785,185.4476776123047,293.9593811035156,100355.0546875,5.872291512787342e-05,62.28145599365234,-7.159225788200274e-06,51.071964263916016,-0.0605433210730552,0.6348631381988525,0.7601479887962341,3901
1006A,116.361,39.9425,20170930,54.0,2189.0,6866.0,1648488.6803659303,1379142.1766624278,55,0.5854148268699646,31.782339096069336,293.94140625,100209.6796875,6.655116158071905e-05,54.30177307128906,-6.642199423367856e-06,53.94256591796875,0.3083261847496032,0.4976398944854736,0.7338208556175232,3100
1007A,116.315,39.9934,20170930,42.48214285714285,2181.0,6858.0,1643658.0833643028,1384435.6792709937,52,0.4500706195831299,61.36774444580078,293.7333068847656,100104.8046875,8.807569975033402e-05,42.74374008178711,-5.817776127514662e-06,56.19776153564453,0.3950261771678924,0.2156800180673599,0.7247135043144226,4498
1008A,116.72,40.1438,20170930,50.05555555555557,2157.0,6923.0,1670359.5101822412,1409179.4017513914,32,0.9032157063484192,240.58921813964844,293.6003112792969,100146.875,7.96479798736982e-05,72.14629364013672,-7.66457560530398e-06,52.5093879699707,-0.7867966890335083,0.4435646831989288,0.6788797378540039,6014
1009A,116.644,40.3937,20170930,48.0,2117.0,6911.0,1657945.0195431802,1437655.3173973674,169,0.2932051122188568,282.2738342285156,293.0658874511719,98302.1171875,0.0002362580271437,59.10792922973633,-6.308683623501565e-06,59.00632858276367,-0.2865065336227417,-0.0623156651854515,0.6250155568122864,7081
1010A,116.23,40.1952,20170930,48.67857142857143,2149.0,6845.0,1631926.7826818542,1407069.146014603,57,0.3517861664295196,167.009033203125,293.5003967285156,99565.5625,0.0002181246818508,33.82514190673828,-6.058698090782855e-06,60.94388198852539,0.0791100859642028,-0.3427755832672119,0.6652228832244873,3890
1011A,116.407,40.0031,20170930,50.41071428571429,2180.0,6873.0,1650384.2993514207,1387133.4197281853,47,0.3928609490394592,14.96135139465332,293.83367919921875,100197.359375,6.934627890586853e-05,51.78152847290039,-6.42662780592218e-06,53.462364196777344,0.1014210656285286,0.3795438110828399,0.7030987739562988,4257
1012A,116.225,39.9279,20170930,51.35714285714285,2192.0,6844.0,1638539.229021886,1375127.8940789944,66,0.7927032113075256,63.172481536865234,293.3878173828125,99341.7578125,0.0001120511951739,44.94417953491211,-6.069289611332351e-06,57.414024353027344,0.70737224817276,0.3577749133110046,0.6806278824806213,3606
1015A,117.145,39.1654,20170930,42.33928571428572,2314.0,6991.0,1729155.5632773454,1300184.178096506,6,2.183090925216675,186.29122924804688,295.8124389648437,101142.484375,0.0001649152254685,167.8925018310547,-2.3059457816998478e-05,54.04914474487305,-0.2392213940620422,2.169944524765014,0.7058769464492798,3544
1017A,117.237,39.1082,20170930,42.785714285714285,2323.0,7006.0,1737780.1380324084,1295015.2827556727,6,2.16945743560791,186.8938140869141,295.7485046386719,101109.0625,0.0001510562433395,172.4687042236328,-2.892982774937991e-05,55.01163482666016,-0.260391503572464,2.153773784637451,0.7191949486732483,2544
1018A,117.202,39.0927,20170930,42.875,2325.0,7000.0,1735514.7479055552,1292556.452844512,7,2.181724548339844,186.5748443603516,295.744384765625,101109.75,0.0001451123389415,171.37347412109375,-2.8571523216669448e-05,54.81863784790039,-0.2498029172420501,2.167376518249512,0.6845795512199402,2850
1019A,117.1837,39.2133,20170930,38.57142857142857,2306.0,6997.0,1730819.4129383704,1306554.0854461065,4,2.159424066543579,186.5977478027344,295.7804870605469,101137.7421875,0.0001744975452311,167.9374237060547,-2.116202813340351e-05,54.04219436645508,-0.2481055259704589,2.1451237201690674,0.7471513748168945,3151
1021A,117.307,39.0877,20170930,43.2962962962963,2326.0,7017.0,1743718.470043329,1293821.8519381783,4,2.166038274765014,187.3207244873047,295.7030639648437,101122.875,0.0001486504625063,176.7541046142578,-3.056036803172901e-05,55.76520156860352,-0.2759957611560821,2.148382663726806,0.7263540625572205,3144
1024A,117.457,38.8394,20170930,43.407407407407405,2366.0,7041.0,1762091.4457384683,1267036.9345306552,3,2.4385597705841064,187.6753387451172,296.0422058105469,101171.078125,9.167644748231396e-05,200.1884613037109,-4.965938933310099e-05,57.10664749145508,-0.3256836831569671,2.4167134761810303,0.6526952385902405,3512
1027A,117.157,38.9194,20170930,50.48,2353.0,6993.0,1736776.7607285143,1271187.8960052915,2,2.1971263885498047,185.8948516845703,295.5566101074219,101174.3203125,8.075186633504927e-05,168.83447265625,-2.93718148896005e-05,54.93426132202149,-0.2256462723016739,2.185508728027344,0.6590660214424133,3709
1029A,114.4548,38.0513,20170930,66.33928571428571,2492.0,6561.0,1548715.8370152607,1122720.941225226,80,1.5463701486587524,11.28683376312256,295.4872131347656,99652.2890625,3.702572576003149e-05,110.33699798583984,-9.215666977979708e-06,56.22869110107422,0.3026476204395294,1.5164645910263062,0.6283159852027893,2733
