station_id,lng,lat,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi
1627A,115.9835,36.4796,20170601,57.26740947,2743,6805,1709054.559,961306.2282,33,0.990226269,220.3613434,287.0750427,101268.9453,0.001001082,200.6942902,-1.15546e-05,52.84360886,-0.641260743,0.754541337,0.859417915,2719
1628A,118.0062,37.3803,20170601,57.56779661,2599,7129,1845566.532,1104423.454,12,0.803805292,224.1965942,285.9595032,101618.4063,0.00080481,192.4468994,-1.06852e-05,52.11980438,-0.560337603,0.576302648,0.791954517,2410
1629A,118.0018,37.3617,20170601,54.07541899,2602,7128,1845743.867,1102144.139,12,0.797798097,224.3066864,285.9794922,101616.7813,0.000803164,191.8181,-1.08153e-05,52.10063553,-0.557247877,0.570926011,0.790579975,2740
1630A,117.9776,37.393,20170601,53.84180791,2597,7124,1842956.917,1105386.618,10,0.798869312,223.704071,285.9798584,101615.7422,0.000819592,192.3296661,-1.05893e-05,52.04418182,-0.551952839,0.57752943,0.794043303,3406
1631A,118.0482,36.8088,20170601,53.3245614,2691,7136,1864991.085,1037766.87,41,1.040923715,190.2612,285.9635315,100772.5625,0.000912619,190.433548,-8.83044e-06,56.51491547,-0.185420588,1.024276018,0.780364931,2568
1632A,118.0448,36.838,20170601,53.40947075,2686,7135,1863898.159,1041146.352,31,1.010884523,192.8911743,286.0388489,100918.625,0.000872613,189.6843262,-8.88814e-06,55.88364029,-0.225521713,0.985407293,0.780150771,3026
1633A,117.8477,36.497,20170601,53.86827195,2741,7104,1857771.496,997198.9788,210,0.918748319,191.1878204,284.4354553,97179.71094,0.001116327,205.0503235,-8.73227e-06,63.06698227,-0.178255662,0.90128988,0.753453732,3443
1634A,117.9544,36.6377,20170601,50.94507042,2718,7121,1862341.959,1015809.776,97,1.104663849,184.7385712,285.4519958,99770.29688,0.001072533,199.4207458,-8.6885e-06,59.95675278,-0.091252215,1.100888371,0.766484499,2777
1635A,118.3092,36.8198,20170601,58.88951841,2689,7177,1885401.582,1044044.809,65,0.975193918,189.9206696,285.8804321,100598.2109,0.000938738,199.3250732,-8.44907e-06,56.64081955,-0.168005884,0.960612953,0.760534585,2790
1636A,117.8512,36.8041,20170601,56.51267606,2691,7104,1849471.486,1033488.843,50,1.001184344,193.5328674,285.7624207,100466.4766,0.000942024,184.0343933,-8.87756e-06,56.74019241,-0.234273672,0.97338891,0.784299135,2390
1637A,117.5564,34.864,20170601,51.03221289,3002,7057,1879442.789,799424.9154,73,1.006241918,248.7110291,286.8347168,100420.9766,0.001372134,207.3903198,-1.34282e-05,63.67664719,-0.937564194,0.365371346,0.782929778,2015
1638A,117.2852,34.7837,20170601,60.64944134,3015,7014,1859415.879,784826.8558,70,1.242194533,242.221283,287.3563232,100902.8359,0.001318938,210.5931702,-2.32299e-05,61.3789444,-1.099018335,0.578969836,0.798897803,3443
1639A,117.5852,34.7745,20170601,49.32633053,3016,7062,1884260.578,789460.6903,59,0.980308354,250.0236511,287.0166931,100924.2344,0.001424066,205.4583435,-1.4544e-05,62.94879913,-0.921314776,0.334938079,0.775545597,3033
1640A,117.732,34.5667,20170601,62.16432584,3049,7085,1902036.32,767888.5055,26,0.918803453,247.8565063,287.0748291,101215.9922,0.001579051,205.4299927,-1.08905e-05,61.92969894,-0.851022899,0.34635222,0.780947626,2514
1641A,117.4518,35.0992,20170601,49.70762712,2964,7040,1864448.603,825083.3174,168,1.152058601,240.746933,286.5387268,99600.75781,0.001163998,209.1637573,-1.16866e-05,64.45832825,-1.005118847,0.563005388,0.779389083,3462
1642A,121.2514,37.5639,20170601,29.87078652,2570,7648,2094184.019,1191090.863,5,0.763974726,28.81622696,284.8908081,101156.7578,0.000922345,394.3131409,-4.51789e-05,63.93867493,0.368227243,0.669377387,0.61305207,2518
1644A,121.3181,37.5436,20170601,26.89346591,2573,7659,2100029.809,1190136.475,19,0.77137351,31.06195641,284.9713135,101289.2578,0.000901973,399.734436,-4.88569e-05,64.1164856,0.397990972,0.660772502,0.610537529,2453
1646A,121.2611,37.4967,20170601,30.04441261,2581,7650,2097094.775,1183425.696,10,0.782544911,28.9070816,284.8276672,101138.5469,0.000936166,363.4239807,-3.54023e-05,64.66517639,0.378264666,0.685049176,0.612672925,2328
1648A,119.12,36.7019,20170601,46.91504178,2708,7307,1953158.606,1046001.212,31,0.855927348,200.0806122,286.0301208,101318.5313,0.000787754,243.0398712,-1.1805e-05,58.25310898,-0.29386735,0.80389899,0.733187616,2308
1650A,119.1425,36.7008,20170601,47.30812325,2708,7311,1954976.224,1046319.314,30,0.849948883,200.3027039,285.9971313,101320.0703,0.000794282,243.0031586,-1.1674e-05,58.43498993,-0.294906765,0.797146857,0.727613628,2469
1652A,119.1939,36.7731,20170601,44.57843137,2696,7319,1956917.441,1055844.419,15,0.882698596,205.7969971,286.010437,101524.9688,0.000825922,246.460434,-1.36649e-05,58.17367554,-0.38412559,0.794735372,0.729832768,2927
1653A,116.6305,35.428,20170601,49.96927374,2912,6909,1788699.122,848541.891,38,1.003880501,224.9829407,287.5328369,101243.1563,0.000872848,189.3755798,-1.3267e-05,57.11571121,-0.70962292,0.710078478,0.837061763,2815
1654A,116.5856,35.4144,20170601,52.05196629,2914,6902,1785404.351,846121.2426,40,0.990174472,224.2931976,287.5345154,101232.5391,0.000872542,189.5454254,-1.36452e-05,57.07492828,-0.691452742,0.708758473,0.846585035,2235
1655A,116.5546,35.4039,20170601,45.83753501,2915,6897,1783157.681,844319.8292,39,0.98013097,223.844635,287.5210876,101212.8984,0.000871087,189.5303802,-1.37445e-05,57.03695679,-0.678925931,0.706906199,0.83983016,2937
1656A,117.1436,36.1942,20170601,50.27793296,2789,6991,1809704.741,948337.2128,142,0.720976472,245.2601013,285.5614319,98912.79688,0.001023079,167.3216705,-9.14897e-06,62.70920181,-0.654792905,0.301750451,0.805314422,2253
1657A,117.0881,36.1942,20170601,48.14542936,2789,6982,1805245.714,947316.2891,166,0.767899811,245.3131866,285.5733032,98834.11719,0.001015358,168.2943726,-9.04765e-06,62.26632309,-0.697706282,0.320742965,0.800968051,2720
1658A,117.1081,36.1758,20170601,49.33147632,2792,6985,1807349.704,945512.1025,137,0.754473269,247.5123291,285.6602478,99097.375,0.001000177,167.3327789,-9.08167e-06,62.27106094,-0.69709456,0.288598508,0.806031823,2454
