监测点编码,监测点名称,城市,经度,纬度,date,PM2_5,row_index,col_index,proj_x,proj_y,dem,w10,d10,t2m,sp,tp,blh,e,r,u10,v10,aod_sat,ndvi,id
2862A,22中南校区,石家庄,114.5480556,38.03777778,20170601,68.15266106,2494,6576,1556366.493,1122582.628,74,0.648570836,28.2766037,286.0995483,100571.7422,0.000978954,133.3346863,-9.0693e-06,50.93685532,0.307238311,0.571181893,0.826391816,2519,1332
2477A,零陵南津渡,永州,111.6217,26.2081,20170601,37.14595376,4387,6107,1563982.085,-314873.7567,117,0.674932241,299.8596497,292.01651,100026.3359,0.00150971,252.7855377,-1.1972e-05,72.28494263,-0.58535409,-0.335997254,0.726286948,4815,1113
2602A,普洱第二中学,普洱,100.9817,22.8322,20170601,19.05694444,4927,4405,589056.1552,-822002.1298,1363,0.919576406,204.0083618,291.2594299,85982.71094,0.003569263,123.6655426,-6.45679e-06,76.68824768,-0.374137729,0.840024829,0.284693629,5233,1223
2462A,市水土所,邵阳,111.5239,27.3033,20170601,42.53539823,4212,6092,1533349.656,-189682.1249,245,0.803620279,304.7120667,290.281311,98828.25,0.002232966,230.6237335,-1.08742e-05,75.85951996,-0.660624623,-0.457581401,0.743639529,5292,1098
1331A,汉口江滩,武汉,114.3008,30.5947,20170601,45.17222222,3685,6536,1711902.909,239433.4756,26,1.108243346,301.6933899,290.0739746,101310.75,0.00254495,211.1082764,-3.32292e-05,68.74343109,-0.943009436,-0.582182646,0.803780437,1620,278
1334A,沉湖七壕,武汉,113.8531,30.2997,20170601,43.25073314,3732,6464,1679384.985,197249.3631,21,0.932408869,305.3052673,289.9713745,101366.4609,0.002586212,204.6863098,-2.28903e-05,69.29116058,-0.760959208,-0.538820326,0.807403505,2382,280
2585A,铜仁卫校,铜仁地区,109.1916,27.7297,20170601,23.85416667,4143,5719,1311327.91,-173846.5597,308,0.939418554,306.1422729,289.3128052,96037.00781,0.002274304,232.4941559,-1.02374e-05,77.46893311,-0.758668184,-0.554012418,0.731624246,3832,1207
2010A,市政府,临安,119.7183,30.2366,20170601,32.08100559,3742,7403,2193985.805,305560.443,44,0.67244333,320.7337952,289.1682434,99763.38281,0.002783078,206.3201447,-1.01556e-05,75.56233978,-0.425643414,-0.520583987,0.699158251,2634,809
1616A,技术学院,莱芜,117.6789,36.2289,20170601,49.29411765,2783,7077,1851721.157,962403.7776,214,0.689459801,227.0018158,285.3067017,99096.44531,0.001008372,196.602356,-8.30647e-06,63.03105927,-0.50424248,0.470206648,0.764710188,2505,463
1115A,旅顺,大连,121.2588889,38.80805556,20170601,26.59773371,2371,7649,2054810.717,1337188.296,16,0.055798065,60.41362381,284.6854553,101431.5781,0.000366197,498.5209656,-8.64496e-05,61.68934631,0.048521832,0.027550969,0.638872385,3905,98
