weight_dem,weight_w10,weight_d10,weight_t2m,weight_aod_sat,weight_tp,bias,Pred_PM2_5,id
-13.644902,10.718448,-0.46433225,30.875172,19.719229,-5.6887364,19.945663,37.840584,1294
-34.087116,-6.7495584,-0.73922706,68.3625,8.330478,-38.193954,30.013891,59.529022,652
-11.040514,7.8446093,-0.49615365,28.518747,21.163504,-2.790599,12.264205,41.560345,1185
-10.85225,4.566343,-0.23437789,6.5736985,53.894478,4.8255067,-3.3951344,31.345348,206
-14.732536,7.610086,-0.5255857,42.78428,-0.110088296,-6.700081,12.342926,42.178513,689
-6.682127,2.7580016,-0.41050717,14.375057,31.530989,9.4188795,3.5889294,29.624435,1203
-31.152441,-6.463257,-0.75635076,55.776417,-31.89477,-22.354063,55.245556,61.272034,271
-18.531528,-0.8587622,-0.36870334,44.524292,12.556742,-1.2626396,2.1515343,43.087006,998
-30.344551,-4.6402655,-0.717573,55.84148,-22.715673,-24.772612,46.529522,56.462734,1044
-28.678888,-5.627684,-0.75914276,48.78526,-31.582306,-11.813695,56.97076,59.682274,1041
1.6429262,-17.934881,-0.5875964,32.867672,75.82275,-29.55299,9.450921,22.783766,909
-22.01401,7.5846543,-0.52566725,56.167763,31.942688,-21.097466,4.2915545,22.413492,1299
-19.840126,-0.880977,-0.43302643,46.069996,47.877655,-15.048513,4.432291,28.87902,441
-22.635035,1.6045849,-0.4901642,45.804382,40.600384,-25.53341,-0.8807966,39.02928,625
-6.3540506,-3.153603,-0.3518777,13.866924,28.108936,10.875134,3.2083378,38.127586,681
-7.7139297,8.569746,-0.4432224,5.747768,17.547993,3.091519,37.677807,39.43304,410
-15.618207,7.4298706,-0.4395911,36.07394,32.27039,-8.213722,12.302498,37.386894,1365
-22.573093,0.7978586,-0.6329883,35.123417,1.881475,0.112039566,31.509405,54.149,254
-9.595589,-1.6208175,-0.37622407,24.407757,14.338737,11.299775,3.7345002,38.276794,677
-27.452862,-3.3170495,-0.7147211,45.73909,-25.499292,-9.766053,50.86444,57.14815,544
-20.499949,2.0360126,-0.5328984,52.390778,-3.3051224,-13.633979,13.3977585,40.709877,1357
-4.902238,-5.9482813,-0.32818916,2.5683959,42.81777,5.1043344,7.22555,32.331024,541
-30.416346,-8.8531065,-0.7930211,54.7553,-29.51439,-14.870739,59.260597,68.36209,37
-12.568784,11.002027,-0.40065414,13.590717,75.558525,-1.8486763,-19.769604,42.896725,176
-12.7437525,8.479792,-0.34427655,13.028804,68.794975,-0.8998308,-15.01366,40.415653,198
-13.913356,-0.4436343,-0.35616744,34.64129,4.3782735,9.799558,4.9596314,38.94491,1114
-32.703888,-6.636707,-0.75120515,60.94081,-19.512331,-29.652706,46.50026,62.622444,634
-22.733881,-3.6419952,-0.46493456,54.383797,-0.28211772,-9.400845,10.152653,44.21993,670
-12.524465,6.9988155,-0.51336026,34.52427,11.105787,-3.2432897,12.134008,47.68734,1172
-6.8847017,1.0579154,-0.3849711,1.5716496,54.05449,0.080969594,7.0254045,29.824078,104
-17.94496,9.723267,-0.49618402,28.902237,61.427376,-16.700094,-9.93721,47.624672,619
0.5412384,-16.734648,-0.57151854,31.305805,72.65711,-27.527536,9.64226,25.984716,920
-12.027724,0.17695972,-0.44103333,36.059486,0.14912744,7.959127,5.682654,31.113222,719
-34.154167,-4.7999525,-0.7017963,74.750916,38.424,-43.424248,9.609257,60.128834,390
